Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
8.839755713,360000,13.95306418,Water,Pressure,0.039016921,5.546280117,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
11.3695267,400000,16.97056275,Water,Pressure,0.051,5.508,0.000108,0.00866,0.0003,7,0.0001,0.001,0.6,1000
10.897205,350000,15.87450787,Water,Pressure,0.049,5.39,0.00011,0.00866,0.0003,7,0.0001,0.001,0.6,1000
12.35723684,896000,20.57571384,FC-72,Pressure,0.002885714,5.3025,0.000025,0.005,0.0007,12,0.000049,0.00064,0.057,1680
8.559221434,360000,13.95306418,Water,Pressure,0.037230713,5.292369477,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.736628113,260000,11.85782442,Water,Pressure,0.033935885,5.248222447,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.083209623,160000,9.302042786,Water,Pressure,0.029912728,5.245901074,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.682500223,260000,11.85782442,Water,Pressure,0.033630807,5.20104177,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.433726115,360000,13.95306418,Water,Pressure,0.036440159,5.179991817,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.621361482,260000,11.85782442,Water,Pressure,0.033287249,5.147910139,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.368123597,360000,13.95306418,Water,Pressure,0.03602901,5.12154668,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
10.50863162,350000,15.87450787,Water,Pressure,0.046,5.106,0.000111,0.00866,0.0003,7,0.0001,0.001,0.6,1000
25.33125725,261814.1892,13.27209804,Water,Pressure,0.005,5.08016,0.001016032,0.254,0.003386773,7,0.00005,0.001,0.6,1000
14.7338,200000,17.2,Water,Pressure,0.0036,4.968,0.00138,0.1,0.008,7,0.000625,0.001,0.6,1000
16.78845,1000000,36.1,Water,Pressure,0.00601,4.96426,0.000826,0.2,0.008,7,0.000625,0.001,0.6,1000
25.145725,272000,15.16047493,Water,Pressure,0.036054422,4.957482993,0.00055,0.0033,0.0007,7,0.000049,0.001,0.6,1000
18.13295,136000,10.72007463,Water,Pressure,0.036054422,4.957482993,0.00055,0.0033,0.0007,7,0.000049,0.001,0.6,1000
8.722641618,160000,9.302042786,Water,Pressure,0.02820296,4.946053001,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.385157679,260000,11.85782442,Water,Pressure,0.031970337,4.944248232,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.367579002,260000,11.85782442,Water,Pressure,0.031872995,4.929194154,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
