Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
20.31155783,800000,26,Water,Pressure,1.23941,4.822779798,0.389119,0.05,45,7,0.002,0.001,0.6,10
8.182796695,260000,11.85782442,Water,Pressure,3.0855383,4.771819453,0.154651,0.023,0.6,7,0.0004,0.001,0.6,10
9.041897881,300000,14.69693846,Water,Pressure,4.2,4.746,0.113,0.00866,0.3,7,0.0001,0.001,0.6,10
8.385807499,160000,9.302042786,Water,Pressure,2.6634386,4.670966735,0.175374,0.023,0.6,7,0.0004,0.001,0.6,10
8.378587954,160000,9.302042786,Water,Pressure,2.6601074,4.66512459,0.175374,0.023,0.6,7,0.0004,0.001,0.6,10
8.285698434,160000,9.302042786,Water,Pressure,2.6173623,4.590161038,0.175374,0.023,0.6,7,0.0004,0.001,0.6,10
12.12925614,689000,18.04307346,FC-72,Pressure,0.2481714,4.56015,0.028,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
8.337352926,300000,14.69693846,Water,Pressure,4,4.56,0.114,0.00866,0.3,7,0.0001,0.001,0.6,10
7.913420228,260000,11.85782442,Water,Pressure,2.9390499,4.545273384,0.154651,0.023,0.6,7,0.0004,0.001,0.6,10
21.949,272000,15.16047493,Water,Pressure,3.6054422,4.506802721,0.5,0.005,0.7,7,4.90E-05,0.001,0.6,10
15.48266667,136000,10.72007463,Water,Pressure,3.6054422,4.506802721,0.5,0.005,0.7,7,4.90E-05,0.001,0.6,10
10.45875,200000,17.2,Water,Pressure,0.196,4.41,2.25,0.3,8,7,0.000625,0.001,0.6,10
8.017798171,250000,13.41640786,Water,Pressure,3.8,4.37,0.115,0.00866,0.3,7,0.0001,0.001,0.6,10
7.921330669,160000,9.302042786,Water,Pressure,2.4517944,4.299798662,0.175374,0.023,0.6,7,0.0004,0.001,0.6,10
22.27584453,253428.7027,13.05782643,Water,Pressure,0.5,4.27787,0.855574,0.254,2.851913,7,5.00E-05,0.001,0.6,10
7.79500326,160000,9.302042786,Water,Pressure,2.3951845,4.200519871,0.175374,0.023,0.6,7,0.0004,0.001,0.6,10
7.515224699,250000,13.41640786,Water,Pressure,3.6,4.176,0.116,0.00866,0.3,7,0.0001,0.001,0.6,10
19.60658,272000,15.16047493,Water,Pressure,3.6054422,4.146258503,0.46,0.007,0.7,7,4.90E-05,0.001,0.6,10
13.07105333,136000,10.72007463,Water,Pressure,3.6054422,4.146258503,0.46,0.007,0.7,7,4.90E-05,0.001,0.6,10
10.62983158,483000,15.1068693,FC-72,Pressure,0.2250857,4.13595,0.028,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
13.1659,620528,19.3757436,Water,Pressure,0.443,4.123853865,0.837803,0.03,0.76,7,0.001963,0.0009,0.6,10
20.44041566,250633.5405,12.98561689,Water,Pressure,0.5,4.09748,0.819496,0.254,2.731653,7,5.00E-05,0.001,0.6,10
13.9804245,584772,20.51915788,Water,Pressure,3.3120211,3.980633682,0.120187,0.01451,0.56,7,0.0002,0.001,0.6,10
7.019563915,250000,13.41640786,Water,Pressure,3.4,3.978,0.117,0.00866,0.3,7,0.0001,0.001,0.6,10
12.45769603,555838,20.00508335,Water,Pressure,3.2472935,3.954472791,0.121777,0.01451,0.56,7,0.0002,0.001,0.6,10
10.81526251,537563,19.67346843,Water,Pressure,3.1739016,3.898709629,0.122837,0.01451,0.56,7,0.0002,0.001,0.6,10
12.7786,620528,19.3757436,Water,Pressure,0.443,3.892103554,0.790721,0.03,0.76,7,0.001963,0.0009,0.6,10
9.33119409,516244,19.27941078,Water,Pressure,3.1091564,3.859417511,0.124131,0.01451,0.56,7,0.0002,0.001,0.6,10
9.748,2000000,49.6,Water,Pressure,0.96,3.84,0.4,0.1,8,7,0.000625,0.001,0.6,10
10.956575,2000000,49.6,Water,Pressure,0.557,3.81545,0.685,0.3,8,7,0.000625,0.001,0.6,10
7.649626188,501015,18.99291447,Water,Pressure,3.0328998,3.794070257,0.125097,0.01451,0.56,7,0.0002,0.001,0.6,10
7.25182888,455330,18.1062862,Water,Pressure,2.934833,3.763444697,0.128234,0.01451,0.56,7,0.0002,0.001,0.6,10
12.98026667,200000,17.2,Water,Pressure,0.215,3.698,1.72,0.2,8,7,0.000625,0.001,0.6,10
11.83865833,500000,26.2,Water,Pressure,0.472,3.68632,0.781,0.1,8,7,0.000625,0.001,0.6,10
6.698981344,423350,17.45886594,Water,Pressure,2.8151494,3.678704469,0.130675,0.01451,0.56,7,0.0002,0.001,0.6,10
12.1271,620528,19.3757436,Water,Pressure,0.443,3.673169504,0.746242,0.03,0.76,7,0.001963,0.0009,0.6,10
6.411345227,405076,17.07790151,Water,Pressure,2.7286116,3.606603549,0.132177,0.01451,0.56,7,0.0002,0.001,0.6,10
5.891579198,367005,16.25557135,Water,Pressure,2.63058,3.56705747,0.1356,0.01451,0.56,7,0.0002,0.001,0.6,10
11.3374,620528,19.3757436,Water,Pressure,0.443,3.516868211,0.714488,0.03,0.76,7,0.001963,0.0009,0.6,10
20.4538006,247838.3784,12.91300356,Water,Pressure,0.5,3.50102,0.700204,0.254,2.334013,7,5.00E-05,0.001,0.6,10
5.272040327,325888,15.31794242,Water,Pressure,2.486362,3.47686878,0.139838,0.01451,0.56,7,0.0002,0.001,0.6,10
10.4414,620528,19.3757436,Water,Pressure,0.443,3.416082253,0.694012,0.03,0.76,7,0.001963,0.0009,0.6,10
8.749136842,344000,12.74911762,FC-72,Pressure,0.1846857,3.3936,0.027,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
10.13175,500000,26.2,Water,Pressure,0.247,3.3345,1.35,0.3,8,7,0.000625,0.001,0.6,10
9.779568333,1000000,36.1,Water,Pressure,0.666,3.32334,0.499,0.1,8,7,0.000625,0.001,0.6,10
9.68866,620528,19.3757436,Water,Pressure,0.443,3.270646414,0.664465,0.03,0.76,7,0.001963,0.0009,0.6,10
19.59943865,245043.2162,12.83997959,Water,Pressure,0.5,3.16722,0.633444,0.254,2.11148,7,5.00E-05,0.001,0.6,10
18.24143533,242248.0541,12.76653793,Water,Pressure,0.5,3.16675,0.63335,0.254,2.111167,7,5.00E-05,0.001,0.6,10
8.53113,239061,12.02630055,Water,Pressure,0.275,3.108481427,1.017321,0.03,0.61,7,0.001963,0.0009,0.6,10
15.35746073,233862.5676,12.54363326,Water,Pressure,0.5,2.98961,0.597922,0.254,1.993073,7,5.00E-05,0.001,0.6,10
8.53175,239061,12.02630055,Water,Pressure,0.275,2.976682326,0.974187,0.03,0.61,7,0.001963,0.0009,0.6,10
11.1826,500000,26.2,Water,Pressure,0.289,2.9478,1.02,0.2,8,7,0.000625,0.001,0.6,10
19.053572,239452.8919,12.69267134,Water,Pressure,0.5,2.82464,0.564928,0.254,1.883093,7,5.00E-05,0.001,0.6,10
8.21906,239061,12.02630055,Water,Pressure,0.275,2.789132847,0.912807,0.03,0.61,7,0.001963,0.0009,0.6,10
18.2512043,236657.7297,12.61837234,Water,Pressure,0.5,2.78428,0.556856,0.254,1.856187,7,5.00E-05,0.001,0.6,10
